,index,Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Week,Day
1,0,1/1/2007,0:00:00,2.58,0.136,241.97,10.6,0,0,0,Week1,Day1
2,1,1/1/2007,0:01:00,2.552,0.1,241.75,10.4,0,0,0,Week1,Day1
3,2,1/1/2007,0:02:00,2.55,0.1,241.64,10.4,0,0,0,Week1,Day1
4,3,1/1/2007,0:03:00,2.55,0.1,241.71,10.4,0,0,0,Week1,Day1
5,4,1/1/2007,0:04:00,2.554,0.1,241.98,10.4,0,0,0,Week1,Day1
6,5,1/1/2007,0:05:00,2.55,0.1,241.83,10.4,0,0,0,Week1,Day1
7,6,1/1/2007,0:06:00,2.534,0.096,241.07,10.4,0,0,0,Week1,Day1
8,7,1/1/2007,0:07:00,2.484,0,241.29,10.2,0,0,0,Week1,Day1
9,8,1/1/2007,0:08:00,2.468,0,241.23,10.2,0,0,0,Week1,Day1
10,9,1/1/2007,0:09:00,2.486,0,242.18,10.2,0,0,0,Week1,Day1
11,10,1/1/2007,0:10:00,2.492,0,242.46,10.2,0,0,0,Week1,Day1
12,11,1/1/2007,0:11:00,2.5,0,242.88,10.2,0,0,0,Week1,Day1
13,12,1/1/2007,0:12:00,2.494,0,242.57,10.2,0,0,0,Week1,Day1
14,13,1/1/2007,0:13:00,2.492,0,242.41,10.2,0,0,0,Week1,Day1
15,14,1/1/2007,0:14:00,2.48,0,241.81,10.2,0,0,0,Week1,Day1
16,15,1/1/2007,0:15:00,2.478,0,241.73,10.2,0,0,0,Week1,Day1
17,16,1/1/2007,0:16:00,2.47,0,241.29,10.2,0,0,0,Week1,Day1
18,17,1/1/2007,0:17:00,2.466,0,241.11,10.2,0,0,0,Week1,Day1
19,18,1/1/2007,0:18:00,2.456,0,240.59,10.2,0,0,0,Week1,Day1
20,19,1/1/2007,0:19:00,2.46,0,240.83,10.2,0,0,0,Week1,Day1
21,20,1/1/2007,0:20:00,2.544,0.092,240.9,10.6,0,0,0,Week1,Day1
22,21,1/1/2007,0:21:00,2.55,0.116,241.15,10.4,0,1,0,Week1,Day1
23,22,1/1/2007,0:22:00,2.554,0.118,241.55,10.6,0,1,0,Week1,Day1
24,23,1/1/2007,0:23:00,2.65,0.218,241.67,11,0,2,0,Week1,Day1
25,24,1/1/2007,0:24:00,2.682,0.258,242.45,11,0,1,0,Week1,Day1
26,25,1/1/2007,0:25:00,2.66,0.252,241.6,11,0,1,0,Week1,Day1
27,26,1/1/2007,0:26:00,2.65,0.25,241.14,11,0,2,0,Week1,Day1
28,27,1/1/2007,0:27:00,2.654,0.25,241.38,11,0,1,0,Week1,Day1
29,28,1/1/2007,0:28:00,2.642,0.248,240.9,11,0,2,0,Week1,Day1
30,29,1/1/2007,0:29:00,2.644,0.25,241.15,11,0,1,0,Week1,Day1
31,30,1/1/2007,0:30:00,2.648,0.252,241.32,11,0,1,0,Week1,Day1
32,31,1/1/2007,0:31:00,2.646,0.252,241.35,11,0,2,0,Week1,Day1
33,32,1/1/2007,0:32:00,2.644,0.252,241.38,11,0,1,0,Week1,Day1
34,33,1/1/2007,0:33:00,2.656,0.256,242.03,11,0,1,0,Week1,Day1
35,34,1/1/2007,0:34:00,2.65,0.254,241.86,11,0,2,0,Week1,Day1
36,35,1/1/2007,0:35:00,2.642,0.252,241.47,11,0,1,0,Week1,Day1
37,36,1/1/2007,0:36:00,2.63,0.248,240.96,10.8,0,1,0,Week1,Day1
38,37,1/1/2007,0:37:00,2.606,0.214,240.94,10.8,0,2,0,Week1,Day1
39,38,1/1/2007,0:38:00,2.556,0.132,240.31,10.6,0,1,0,Week1,Day1
40,39,1/1/2007,0:39:00,2.602,0.216,240.46,10.8,0,1,0,Week1,Day1
41,40,1/1/2007,0:40:00,2.602,0.216,240.5,10.8,0,1,0,Week1,Day1
42,41,1/1/2007,0:41:00,2.594,0.214,240.08,10.8,0,2,0,Week1,Day1
43,42,1/1/2007,0:42:00,2.6,0.216,240.5,10.8,0,1,0,Week1,Day1
44,43,1/1/2007,0:43:00,2.602,0.216,240.65,10.8,0,1,0,Week1,Day1
45,44,1/1/2007,0:44:00,2.6,0.216,240.68,10.8,0,1,0,Week1,Day1
46,45,1/1/2007,0:45:00,2.598,0.216,240.69,10.8,0,1,0,Week1,Day1
47,46,1/1/2007,0:46:00,2.59,0.214,240.3,10.8,0,2,0,Week1,Day1
48,47,1/1/2007,0:47:00,2.554,0.148,240.85,10.6,0,1,0,Week1,Day1
49,48,1/1/2007,0:48:00,2.484,0,240.98,10.2,0,0,0,Week1,Day1
50,49,1/1/2007,0:49:00,2.472,0,241.4,10.2,0,0,0,Week1,Day1
51,50,1/1/2007,0:50:00,2.486,0,242.11,10.2,0,0,0,Week1,Day1
52,51,1/1/2007,0:51:00,2.486,0,242.12,10.2,0,0,0,Week1,Day1
53,52,1/1/2007,0:52:00,2.482,0,241.96,10.2,0,0,0,Week1,Day1
54,53,1/1/2007,0:53:00,2.484,0,241.98,10.2,0,0,0,Week1,Day1
55,54,1/1/2007,0:54:00,2.48,0,241.84,10.2,0,0,0,Week1,Day1
56,55,1/1/2007,0:55:00,2.458,0,240.63,10.2,0,0,0,Week1,Day1
57,56,1/1/2007,0:56:00,2.46,0,240.81,10.2,0,0,0,Week1,Day1
58,57,1/1/2007,0:57:00,2.462,0,240.82,10.2,0,0,0,Week1,Day1
59,58,1/1/2007,0:58:00,2.472,0,241.39,10.2,0,0,0,Week1,Day1
60,59,1/1/2007,0:59:00,2.466,0,241.09,10.2,0,0,0,Week1,Day1
61,60,1/1/2007,1:00:00,2.466,0,241.09,10.2,0,0,0,Week1,Day1
62,61,1/1/2007,1:01:00,2.59,0.118,241.79,10.6,0,0,0,Week1,Day1
63,62,1/1/2007,1:02:00,2.59,0.132,242.04,10.6,0,0,0,Week1,Day1
64,63,1/1/2007,1:03:00,2.576,0.128,241.43,10.6,0,0,0,Week1,Day1
65,64,1/1/2007,1:04:00,2.566,0.128,241.05,10.6,0,0,0,Week1,Day1
66,65,1/1/2007,1:05:00,2.564,0.126,240.98,10.6,0,0,0,Week1,Day1
67,66,1/1/2007,1:06:00,2.56,0.126,240.91,10.6,0,0,0,Week1,Day1
68,67,1/1/2007,1:07:00,2.552,0.124,240.58,10.6,0,0,0,Week1,Day1
69,68,1/1/2007,1:08:00,2.564,0.128,241.19,10.6,0,0,0,Week1,Day1
70,69,1/1/2007,1:09:00,2.558,0.126,240.99,10.6,0,0,0,Week1,Day1
71,70,1/1/2007,1:10:00,2.56,0.126,241.12,10.6,0,0,0,Week1,Day1
72,71,1/1/2007,1:11:00,2.576,0.132,241.95,10.6,0,0,0,Week1,Day1
73,72,1/1/2007,1:12:00,2.57,0.13,241.73,10.6,0,0,0,Week1,Day1
74,73,1/1/2007,1:13:00,2.56,0.128,241.24,10.6,0,0,0,Week1,Day1
75,74,1/1/2007,1:14:00,2.566,0.128,241.49,10.6,0,0,0,Week1,Day1
76,75,1/1/2007,1:15:00,2.502,0,242,10.2,0,0,0,Week1,Day1
77,76,1/1/2007,1:16:00,2.482,0,241.94,10.2,0,0,0,Week1,Day1
78,77,1/1/2007,1:17:00,2.478,0,241.79,10.2,0,0,0,Week1,Day1
79,78,1/1/2007,1:18:00,2.482,0,242,10.2,0,0,0,Week1,Day1
80,79,1/1/2007,1:19:00,2.58,0.102,242.37,10.6,0,0,0,Week1,Day1
81,80,1/1/2007,1:20:00,2.564,0.102,242.3,10.6,0,0,0,Week1,Day1
82,81,1/1/2007,1:21:00,2.58,0.106,243.15,10.6,0,0,0,Week1,Day1
83,82,1/1/2007,1:22:00,2.572,0.104,242.8,10.6,0,0,0,Week1,Day1
84,83,1/1/2007,1:23:00,2.566,0.102,242.53,10.6,0,0,0,Week1,Day1
85,84,1/1/2007,1:24:00,2.57,0.104,242.8,10.6,0,0,0,Week1,Day1
86,85,1/1/2007,1:25:00,2.57,0.104,242.82,10.6,0,0,0,Week1,Day1
87,86,1/1/2007,1:26:00,2.566,0.104,242.73,10.6,0,0,0,Week1,Day1
88,87,1/1/2007,1:27:00,2.504,0,241.47,10.2,0,0,0,Week1,Day1
89,88,1/1/2007,1:28:00,2.474,0,241.52,10.2,0,0,0,Week1,Day1
90,89,1/1/2007,1:29:00,2.456,0,240.56,10.2,0,0,0,Week1,Day1
91,90,1/1/2007,1:30:00,2.448,0,240.11,10.2,0,0,0,Week1,Day1
92,91,1/1/2007,1:31:00,2.446,0,240.03,10.2,0,0,0,Week1,Day1
93,92,1/1/2007,1:32:00,2.452,0,240.3,10.2,0,0,0,Week1,Day1
94,93,1/1/2007,1:33:00,2.452,0,240.37,10.2,0,0,0,Week1,Day1
95,94,1/1/2007,1:34:00,2.452,0,240.34,10.2,0,0,0,Week1,Day1
96,95,1/1/2007,1:35:00,2.444,0,239.95,10.2,0,0,0,Week1,Day1
97,96,1/1/2007,1:36:00,2.444,0,239.91,10.2,0,0,0,Week1,Day1
98,97,1/1/2007,1:37:00,2.462,0,240.89,10.2,0,0,0,Week1,Day1
99,98,1/1/2007,1:38:00,2.51,0.052,240.01,10.4,0,0,0,Week1,Day1
100,99,1/1/2007,1:39:00,2.546,0.12,239.63,10.6,0,0,0,Week1,Day1
101,100,1/1/2007,1:40:00,2.548,0.122,240,10.6,0,0,0,Week1,Day1
102,101,1/1/2007,1:41:00,2.548,0.122,240.04,10.6,0,0,0,Week1,Day1
103,102,1/1/2007,1:42:00,2.552,0.122,240.36,10.6,0,0,0,Week1,Day1
104,103,1/1/2007,1:43:00,2.544,0.12,239.96,10.6,0,0,0,Week1,Day1
105,104,1/1/2007,1:44:00,2.538,0.12,239.83,10.6,0,0,0,Week1,Day1
106,105,1/1/2007,1:45:00,2.548,0.122,240.42,10.6,0,0,0,Week1,Day1
107,106,1/1/2007,1:46:00,2.554,0.124,240.71,10.6,0,0,0,Week1,Day1
108,107,1/1/2007,1:47:00,2.552,0.124,240.74,10.6,0,0,0,Week1,Day1
109,108,1/1/2007,1:48:00,2.55,0.124,240.66,10.6,0,0,0,Week1,Day1
110,109,1/1/2007,1:49:00,2.548,0.124,240.6,10.6,0,0,0,Week1,Day1
111,110,1/1/2007,1:50:00,2.552,0.124,240.8,10.6,0,0,0,Week1,Day1
112,111,1/1/2007,1:51:00,2.548,0.122,240.56,10.6,0,0,0,Week1,Day1
113,112,1/1/2007,1:52:00,2.502,0.048,240.89,10.4,0,0,0,Week1,Day1
114,113,1/1/2007,1:53:00,2.466,0,241.03,10.2,0,0,0,Week1,Day1
115,114,1/1/2007,1:54:00,2.48,0,241.77,10.2,0,0,0,Week1,Day1
116,115,1/1/2007,1:55:00,2.474,0,241.46,10.2,0,0,0,Week1,Day1
117,116,1/1/2007,1:56:00,2.47,0,241.28,10.2,0,0,0,Week1,Day1
118,117,1/1/2007,1:57:00,2.464,0,240.93,10.2,0,0,0,Week1,Day1
119,118,1/1/2007,1:58:00,2.45,0,240.24,10.2,0,0,0,Week1,Day1
120,119,1/1/2007,1:59:00,2.496,0,239.61,10.4,0,0,0,Week1,Day1
121,120,1/1/2007,2:00:00,2.504,0.088,239.26,10.4,0,0,0,Week1,Day1
122,121,1/1/2007,2:01:00,2.54,0.096,241.07,10.4,0,0,0,Week1,Day1
123,122,1/1/2007,2:02:00,2.568,0.102,242.48,10.6,0,0,0,Week1,Day1
124,123,1/1/2007,2:03:00,2.566,0.102,242.42,10.6,0,0,0,Week1,Day1
125,124,1/1/2007,2:04:00,2.574,0.106,242.95,10.6,0,0,0,Week1,Day1
126,125,1/1/2007,2:05:00,2.582,0.108,243.38,10.6,0,0,0,Week1,Day1
127,126,1/1/2007,2:06:00,2.576,0.106,243.17,10.6,0,0,0,Week1,Day1
128,127,1/1/2007,2:07:00,2.556,0.082,242.89,10.4,0,0,0,Week1,Day1
