id,Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Week,Day
1,1/1/2007,0:00:00,2.58,0.136,241.97,10.6,2.448,2.56,2.43,Week1,Day1
2,1/1/2007,0:01:00,2.552,0.1,241.75,10.4,2.446,2.552,2.476,Week1,Day1
3,1/1/2007,0:02:00,2.55,0.1,241.64,10.4,2.452,2.564,2.502,Week1,Day1
4,1/1/2007,0:03:00,2.55,0.1,241.71,10.4,2.452,2.558,2.508,Week1,Day1
5,1/1/2007,0:04:00,2.554,0.1,241.98,10.4,2.452,2.56,2.468,Week1,Day1
6,1/1/2007,0:05:00,2.55,0.1,241.83,10.4,2.444,2.576,2.44,Week1,Day1
7,1/1/2007,0:06:00,2.534,0.096,241.07,10.4,2.444,2.57,2.442,Week1,Day1
8,1/1/2007,0:07:00,2.484,0,241.29,10.2,2.462,2.56,2.45,Week1,Day1
9,1/1/2007,0:08:00,2.468,0,241.23,10.2,2.51,2.566,2.458,Week1,Day1
10,1/1/2007,0:09:00,2.486,0,242.18,10.2,2.546,2.502,2.468,Week1,Day1
11,1/1/2007,0:10:00,2.492,0,242.46,10.2,2.548,2.482,2.444,Week1,Day1
12,1/1/2007,0:11:00,2.5,0,242.88,10.2,2.548,2.478,2.444,Week1,Day1
13,1/1/2007,0:12:00,2.494,0,242.57,10.2,2.552,2.482,2.442,Week1,Day1
14,1/1/2007,0:13:00,2.492,0,242.41,10.2,2.544,2.58,2.448,Week1,Day1
15,1/1/2007,0:14:00,2.48,0,241.81,10.2,2.538,2.564,2.438,Week1,Day1
16,1/1/2007,0:15:00,2.478,0,241.73,10.2,2.548,2.58,2.432,Week1,Day1
17,1/1/2007,0:16:00,2.47,0,241.29,10.2,2.554,2.572,2.448,Week1,Day1
18,1/1/2007,0:17:00,2.466,0,241.11,10.2,2.552,2.566,2.446,Week1,Day1
19,1/1/2007,0:18:00,2.456,0,240.59,10.2,2.55,2.57,2.45,Week1,Day1
20,1/1/2007,0:19:00,2.46,0,240.83,10.2,2.548,2.57,2.53,Week1,Day1
21,1/1/2007,0:20:00,2.544,0.092,240.9,10.6,2.552,2.566,2.554,Week1,Day1
22,1/1/2007,0:21:00,2.55,0.116,241.15,10.4,2.548,2.504,2.536,Week1,Day1
23,1/1/2007,0:22:00,2.554,0.118,241.55,10.6,2.502,2.474,2.538,Week1,Day1
24,1/1/2007,0:23:00,2.65,0.218,241.67,11,2.466,2.456,2.536,Week1,Day1
25,1/1/2007,0:24:00,2.682,0.258,242.45,11,2.48,2.448,2.534,Week1,Day1
